Gene,System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,System.Cardiovascular System.Heart.VENTRICLE,System.Urogenital/Reproductive System.Ovary.OOCYTE,System.Cardiovascular System.Heart.ATRIUM,System.Urogenital/Reproductive System.Ovary.GRANULOSA,System.Digestive System.Intestine.SMALL INTESTINE,System.Digestive System.Liver.HEPATOCYTE,System.Immune System.Myeloid.KUPFFER CELL,System.Respiratory System.Trachea.TRACHEA,System.Digestive System.Liver.LIVER,System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,System.Integumentary System.Skin.KERATINOCYTE,System.Integumentary System.Skin.BASAL CELL,System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,System.Urogenital/Reproductive System.Kidney.KIDNEY,System.Digestive System.Intestine.COLON,System.Urogenital/Reproductive System.Testis.TESTIS,System.Connective Tissue.Adipose tissue.ADIPOSE,System.Cardiovascular System.Heart.HEART,System.Cardiovascular System.Heart.VALVE,System.Urogenital/Reproductive System.Ovary.OVARY,System.Nervous System.CNS.MEDULLA,System.Urogenital/Reproductive System.Kidney.PODOCYTE,System.Nervous System.CNS.THALAMUS,System.Nervous System.Eye.RETINA,System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,System.Digestive System.Intestine.COLON MUCOSA,System.Nervous System.CNS.HYPOTHALAMUS,System.Digestive System.Pancreas.BETA CELL,System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,System.Nervous System.CNS.ASTROCYTE,System.Nervous System.CNS.CEREBRAL CORTEX,System.Urogenital/Reproductive System.Breast.BREAST,System.Respiratory System.Lung.LUNG EPITHELIAL CELL,System.Digestive System.Esophagus.ESOPHAGUS,System.Nervous System.PNS.SENSORY NEURON,System.Connective Tissue.Adipose tissue.ADIPOCYTE,System.Integumentary System.Skin.SKIN,System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,System.Connective Tissue.Bone marrow.CHONDROCYTE,System.Digestive System.Liver.HEPATIC STELLATE CELL,System.Integumentary System.Skin.MELANOCYTE,System.Muscular System.Smooth muscle.MYOFIBROBLAST,System.Connective Tissue.Bone.OSTEOBLAST,System.Nervous System.CNS.PONS,System.Connective Tissue.Bone marrow.BONE MARROW,System.Respiratory System.Lung.LUNG,System.Immune System.Myeloid.MICROGLIA,System.Digestive System.Pancreas.ALPHA CELL,System.Digestive System.Pancreas.PANCREATIC ISLET,System.Immune System.Granulocytic.GRANULOCYTE,System.Immune System.Granulocytic.NEUTROPHIL,System.Immune System.Lymphoid.BLYMPHOCYTE,System.Immune System.Lymphoid.PLASMA CELL,System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,System.Immune System.Lymphoid.TLYMPHOCYTE,System.Immune System.Myeloid.DENDRITIC CELL,System.Immune System.Myeloid.MACROPHAGE,System.Immune System.Spleen.SPLEEN,System.Nervous System.PNS.MOTOR NEURON,System.Immune System.Thymus.THYMOCYTE,System.Immune System.Thymus.THYMUS,System.Integumentary System.Skin.FIBROBLAST,System.Integumentary System.Skin.HAIR FOLLICLE,System.Muscular System.Skeletal muscle.MYOBLAST,System.Nervous System.CNS.CEREBELLUM,System.Connective Tissue.Bone.STROMAL CELL,System.Nervous System.CNS.NEURON,System.Nervous System.CNS.OLIGODENDROCYTE,System.Nervous System.CNS.SPINAL CORD,System.Nervous System.CNS.MIDBRAIN
ACE,7.61202,8.69241,6.74922,5.70924,5.37289,7.13384,9.73205,4.38682,6.71195,3.89584,5.63312,4.49902,3.05618,4.31312,6.07935,5.47412,6.74966,7.95551,8.01896,4.43111,6.76399,7.53071,5.00836,2.41968,3.89584,4.05534,4.99267,4.57973,4.21911,6.09132,7.93315,3.76961,3.60651,4.84279,3.1737,5.02256,7.26685,5.69219,6.56004,7.00003,4.05534,6.37631,4.13876,6.42264,5.98306,5.91845,4.77752,5.57065,5.16956,7.09227,6.53965,5.484,5.45333,4.05534,4.43111,3.83218,4.71212,10.6134,9.06713,4.63537,4.38682,3.48123,3.73874,6.11658,5.18213,3.56825,3.56825,6.00751,3.9543,2.61696,4.67269,4.79364
ACTN3,0.113644,0.113644,1.20968,2.61696,1.20968,1.81287,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,0.113644,1.20968,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,1.20968,1.20968,0.113644,1.20968,1.20968,1.20968,11.7585,0.113644,1.20968,1.20968,0.661663,0.113644,1.81287,1.20968,0.113644,1.81287,1.20968,1.81287,1.20968,1.81287,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,2.16272,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,1.20968,1.20968,0.113644,2.16272,0.113644,1.20968,0.113644,1.20968,0.113644
ADRB2,3.28517,3.70787,6.17424,0.113644,6.67484,1.81287,4.21911,5.28658,4.1585,8.92875,6.24863,6.25074,8.88232,8.02354,3.83218,4.11061,3.83218,2.41968,7.14836,4.47438,6.21812,2.77595,3.97909,6.39847,2.92457,3.28517,3.56825,3.83272,3.1737,2.92457,7.57242,4.05534,3.28517,3.56825,4.38682,5.82639,1.20968,5.28658,5.74381,4.11061,6.74514,4.11061,5.73498,4.11061,4.81015,6.89949,4.43111,6.06605,6.57131,0.113644,0.113644,8.04145,7.84657,4.16691,5.40837,6.8596,5.49388,5.57065,6.45202,7.17515,1.81287,4.11061,4.77752,4.47438,4.72917,6.45202,2.61696,3.56825,2.16272,1.81287,5.61397,1.81287
ADRB3,3.22943,2.41968,1.20968,1.81287,1.81287,1.81287,1.20968,1.20968,0.113644,1.20968,1.20968,0.113644,1.20968,1.20968,1.20968,1.20968,1.20968,1.81287,4.82627,1.20968,2.92457,3.05618,2.16272,0.113644,0.113644,1.20968,1.20968,1.20968,0.113644,1.20968,1.20968,1.20968,1.20968,1.20968,0.113644,1.20968,1.20968,2.16272,1.20968,1.20968,1.20968,1.20968,1.81287,1.20968,1.20968,1.81287,1.20968,1.20968,1.81287,4.80976,0.113644,2.99037,1.81287,1.81287,2.16272,1.81287,1.20968,1.81287,1.81287,1.81287,1.20968,3.39116,2.16272,1.20968,1.9878,1.20968,2.41968,1.20968,1.20968,1.81287,2.61696,0.113644
AGTR2,0.113644,0.113644,2.41968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
AQP1,13.3799,6.34975,12.185,0.113644,11.8166,1.9878,8.33578,4.71212,4.03246,2.16272,8.28634,1.81287,2.16272,2.16272,7.13892,4.26947,5.12981,2.51832,8.3493,8.4916,12.5929,5.61307,6.70079,3.9543,10.2241,3.56825,3.33816,4.77745,10.0519,1.81287,10.852,5.40837,3.89584,3.39116,2.41968,3.56825,5.88569,6.27464,6.48238,5.67402,5.85482,5.34282,3.56825,4.9313,4.3519,2.77595,0.113644,3.83218,2.41968,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,1.81287,1.81287,1.20968,1.20968,1.20968,2.16272,0.113644,1.20968,4.67269,8.44928,3.64478,9.75599,3.76961,3.39116,3.56825,14.3096,3.56825
AMPD1,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,12.6791,0.113644,0.113644,0.113644,0.113644,0.113644,3.28517,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
BDKRB2,7.54002,8.28094,3.80089,0.113644,3.83272,0.113644,5.96743,4.77752,5.56727,7.59665,3.1737,7.23909,8.35624,7.45283,6.83068,3.70787,5.51459,0.113644,5.07842,2.92457,4.79451,2.77595,4.67269,5.69219,2.41968,1.20968,5.52384,7.51292,2.77595,3.70787,3.83218,2.92457,1.51127,5.12981,6.92548,5.02256,4.71212,6.17424,7.36331,11.5386,5.83091,7.75317,1.20968,7.65065,7.50615,0.113644,0.113644,4.96278,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,7.29945,5.01482,2.92457,4.38682,7.40774,1.81287,1.20968,2.77595,1.20968
CDKN1A,9.89681,12.2574,10.4815,8.54663,9.55748,11.9555,9.82236,12.0966,12.6308,12.5631,10.5612,11.8151,12.4134,11.6169,13.0325,9.42341,10.8647,7.47879,7.9743,9.96866,11.6176,9.21556,10.2793,13.1266,9.01157,9.17601,10.1419,11.2362,9.68003,9.92285,7.83709,11.1312,5.63611,9.7344,11.1055,9.6997,9.11166,12.5558,11.0803,12.7725,11.6878,12.795,12.2981,12.245,12.2726,9.24615,7.26685,10.4354,9.83068,9.08045,9.9708,6.29423,8.66182,9.6066,10.0643,9.21232,9.28798,12.7328,12.2531,9.88286,7.70435,4.51527,5.85085,11.9256,10.9566,11.9948,4.87314,11.5276,9.31882,10.6614,9.76916,8.55271
CKM,1.20968,0.113644,14.5294,0.113644,14.7221,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,1.81287,0.113644,2.61696,0.113644,1.20968,1.20968,1.20968,0.113644,0.113644,1.20968,1.20968,0.113644,0.113644,1.20968,0.113644,16.5074,1.20968,1.20968,0.113644,0.113644,0.113644,2.41968,0.113644,0.113644,1.20968,1.20968,1.81287,1.20968,1.20968,1.81287,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.81287,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.71212,1.20968,1.20968,1.81287,1.81287,1.20968,0.113644
