Gene,Cluster,Phenotype
ADRB2,1,"E,P,P,E"
AQP1,1,E
BDKRB2,1,E
PPARGC1A,1,"E,S"
TRPM2,1,E
AGT,1,"P,S"
VEGFR2,1,E
UCP3,1,E
BDNF,1,P
CPNE5,1,P
HSD17B14,1,P
NPIPB6,1,S
RASGRF1,1,S
PLEKHB1,1,S
GALNTL6,2,"E,S,P"
RBFOX1,2,E
CNTFR,2,"P,S"
CRTAC1,2,"P,S"
AMPD1,2,"E,P"
TSHR,2,E
MYBPC3,2,E
CKM,2,"E,S,P"
IL6,2,"P,S"
GDF5,2,P
TRHR,2,P
TFAP2D,2,S
ARPP21,2,S
MLN,2,S
AGTR2,2,"E,P"
ADRB3,2,E
ACTN3,2,"E,S,P"
CDKN1A,3,"E,P"
ILRUN,3,P
AGRN,3,P
SOD2,3,P
VEGFA,3,E
UBR5,3,"P,P"
KIF1B,3,S
LRPPRC,3,S
GBF1,3,S
ALDH2,3,S
PPP3R1,3,E
MCT1,3,E
HIF1A,3,"E,S,P"
PIEZO1,3,P
CCT3,3,P
FTO,3,E
GSTP1,3,E
ACTG1,3,S
ADPGK,4,S
GBE1,4,S
ADCY3,4,S
MTHFR,4,"P,S"
ADAM15,4,P
E2F3,4,P
AUTS2,4,P
GABPB1,4,"E,E"
PPARA,4,"E,S,P"
SIRT1,4,E
TFAM,4,E
ACVR1B,4,P
FHL2,4,P
MMS22L,4,S
ZKSCAN5,4,S
ITPR1,4,S
RMC1,4,S
R3HDM1,4,S
PPARG,5,"P,S,P"
SLC39A8,5,"P,S"
IGF1,5,"P,S"
IGSF3,5,P
CRTC1,5,P
AKAP6,5,P
UCP2,5,E
ACE,5,"E,S,P"
NFATC4,5,E
PPARGC1B,5,E
NOS3,5,"E,P"
PRDM1,5,E
SPEG,5,E
HFE,5,E
COL5A1,5,E
NRXN3A,5,P
NUP210,5,P
IGF2,5,P
ANGPT2,5,S
ABHD17C,5,S
ZNF568,5,P
GLIS3,5,S
DHODH,5,S
AR,5,S
BCDIN3D,5,S
PHACTR1,5,S
ZNF608,5,S
